Time,Flow,LeaveTemp,EnterTemp,kWE
2022-03-22 23:04,13.97432899,5.469993591,10.45001221,38.16455648
2022-03-22 22:59,14.10253525,5.679992676,10.5,39.43037927
2022-03-22 22:54,13.86443901,5.799995422,10.45001221,37.40506232
2022-03-22 22:49,13.97432899,5.579994202,10.30000305,35.82278384
2022-03-22 22:44,13.95601463,5.579994202,10.40000916,35.69620108
2022-03-22 22:39,13.80949402,5.52999115,10.40000916,40.69619963
2022-03-22 22:34,13.88275528,5.729995728,10.65000916,39.43037927
2022-03-22 22:29,14.13916397,5.749992371,10.70001221,37.78481061
2022-03-22 22:24,13.97432899,5.52999115,10.40000916,35.94936661
2022-03-22 22:19,13.80949402,5.579994202,10.25,38.03797372
2022-03-22 22:14,13.88275528,5.679992676,10.45001221,37.21518939
2022-03-22 22:09,14.26737022,5.719993591,10.45001221,38.29113924
2022-03-22 22:04,13.79117966,5.519996643,10.15000916,37.15189922
2022-03-22 21:59,14.04759026,5.469993591,10.45001221,38.79746787
2022-03-22 21:54,14.56040955,5.629997253,10.90000916,41.32911103
2022-03-22 21:49,14.02927399,5.599990845,10.55000305,37.46835491
2022-03-22 21:44,13.93770027,5.649993896,10.75,41.32911103
2022-03-22 21:39,14.26737022,5.799995422,10.70001221,38.54430235
2022-03-22 21:34,13.90106964,5.679992676,10.20001221,37.21518939
2022-03-22 21:29,13.86443901,5.579994202,10.3500061,41.07594551
2022-03-22 21:24,14.01095963,5.679992676,10.55000305,37.02531646
2022-03-22 21:19,13.84612465,5.699996948,10.45001221,41.58227655
2022-03-22 21:14,14.06590462,5.699996948,10.6000061,37.40506232
2022-03-22 21:09,13.7179203,5.729995728,10.70001221,39.55696203
2022-03-22 21:04,13.90106964,5.679992676,10.75,42.15189777
2022-03-22 20:59,14.01095963,5.629997253,10.75,39.11392357
2022-03-22 20:54,13.99264526,5.649993896,10.8500061,44.30379747
2022-03-22 20:49,14.19410896,5.849990845,10.75,38.79746787
2022-03-22 20:44,14.35894394,5.77999115,10.65000916,40.63290946
2022-03-22 20:39,13.95601463,5.679992676,10.40000916,39.87341772
2022-03-22 20:34,13.97432899,5.469993591,10.5,38.417722
2022-03-22 20:29,13.95601463,5.579994202,10.55000305,42.53164364
2022-03-22 20:24,14.08421898,5.749992371,10.75,37.02531646
2022-03-22 20:19,14.1757946,5.679992676,10.70001221,39.11392357
2022-03-22 20:14,13.93770027,5.699996948,10.25,41.01265533
2022-03-22 20:09,13.7179203,5.599990845,10.65000916,40.00000048
2022-03-22 20:04,13.919384,5.679992676,10.70001221,42.97467968
2022-03-22 19:59,14.48715019,5.679992676,10.80000305,37.34177215
2022-03-22 19:54,14.06590462,5.849990845,10.65000916,37.53164509
2022-03-22 19:49,13.93770027,5.649993896,10.1000061,35.63291091
2022-03-22 19:44,13.919384,5.519996643,9.950012207,38.86075804
2022-03-22 19:39,13.919384,5.599990845,10.70001221,40.25316359
2022-03-22 19:34,14.4322052,5.479995728,10.65000916,39.43037927
2022-03-22 19:29,13.99264526,5.679992676,10.70001221,43.03797468
2022-03-22 19:24,14.01095963,5.849990845,10.75,35.12658228
2022-03-22 19:19,14.08421898,5.399993896,10.25,38.79746787
2022-03-22 19:14,14.10253525,5.449996948,10.40000916,41.20253068
2022-03-22 19:09,13.919384,5.629997253,10.95001221,40.50632911
2022-03-22 19:04,13.99264526,5.729995728,10.8500061,42.53164364
2022-03-22 18:59,14.23073959,5.999992371,10.90000916,34.55696106
