Time,LeaveTemp,EnterTemp,Flow,kWE
2022-02-23 03:44,6.179992676,9.700012207,15.52660077,24.24050585
2022-02-23 03:39,5.999992371,9.600006104,14.91641088,23.35442893
2022-02-23 03:34,6.209991455,9.350006104,16.56955315,21.51898734
2022-02-23 03:29,5.799995422,9.200012207,15.93421868,21.89873321
2022-02-23 03:24,5.999992371,9.600006104,15.0490012,22.08860615
2022-02-23 03:19,5.91999054,9.350006104,16.00360127,22.5316446
2022-02-23 03:14,6.209991455,9.400009155,17.43206374,22.34177167
2022-02-23 03:09,5.839996338,9.25,16.58744431,25.50632863
2022-02-23 03:04,5.809997559,9.5,14.68199868,26.70885883
2022-02-23 02:59,5.909996033,9.600006104,15.2640728,24.93670741
2022-02-23 02:54,5.899993896,9.450012207,17.14334497,25.25316311
2022-02-23 02:49,6.089996338,9.800003052,17.7549872,24.62025172
2022-02-23 02:44,6.119995117,9.5,18.00565107,25.37974587
2022-02-23 02:39,5.819992065,9.550003052,14.71647178,26.89873418
2022-02-23 02:34,5.899993896,9.650009155,15.65626088,27.27848004
2022-02-23 02:29,5.809997559,9.700012207,14.23386116,26.58227848
2022-02-23 02:24,5.809997559,9.650009155,14.23275336,26.39240313
2022-02-23 02:19,5.999992371,9.75,14.82892767,26.45569572
2022-02-23 02:14,6.659996033,10.15000916,17.36971262,25.63291139
2022-02-23 02:09,6.179992676,9.850006104,15.2822108,26.96202435
2022-02-23 02:04,6.089996338,9.800003052,14.86015233,27.08860711
2022-02-23 01:59,6.089996338,9.700012207,16.46175801,26.96202435
2022-02-23 01:54,5.88999176,9.600006104,15.50341708,26.07594744
2022-02-23 01:49,6.189994812,9.850006104,15.78043307,25.75949174
2022-02-23 01:44,6.309997559,9.700012207,15.41801689,27.84810127
2022-02-23 01:39,5.899993896,9.700012207,14.44535182,27.84810127
2022-02-23 01:34,6.089996338,9.600006104,15.9788498,26.58227848
2022-02-23 01:29,6.369995117,9.800003052,16.69944716,27.27848004
2022-02-23 01:24,6.27999115,9.700012207,16.74821158,26.83544159
2022-02-23 01:19,5.999992371,9.550003052,16.94169497,27.53164557
2022-02-23 01:14,5.699996948,9.600006104,14.01379734,29.17721422
2022-02-23 01:09,5.719993591,9.650009155,14.39262642,30.25316408
2022-02-23 01:04,5.909996033,9.700012207,14.67238907,29.17721422
2022-02-23 00:59,6.069992065,9.700012207,15.64782207,26.13924003
2022-02-23 00:54,6.099990845,9.550003052,16.94850632,23.86075756
2022-02-23 00:49,6.27999115,9.700012207,18.14389588,26.07594744
2022-02-23 00:44,5.829994202,9.5,15.73745831,26.39240313
2022-02-23 00:39,5.809997559,9.700012207,16.5039166,28.16455696
2022-02-23 00:34,6.379997253,9.950012207,18.18380836,27.53164557
2022-02-23 00:29,6.309997559,9.700012207,16.96685877,26.89873418
2022-02-23 00:24,6.099990845,9.900009155,16.39233403,27.65822592
2022-02-23 00:19,6.399993896,9.75,17.66818994,28.29113731
2022-02-23 00:14,5.799995422,9.600006104,14.94782885,29.62025268
2022-02-23 00:09,5.999992371,9.800003052,16.20394893,29.49366992
2022-02-23 00:04,6.16999054,10,16.1393446,29.68354285
2022-02-22 23:59,6.379997253,10.15000916,15.63652374,30.25316408
2022-02-22 23:54,6.299995422,9.850006104,17.5467555,29.68354285
2022-02-22 23:49,6.199996948,10,15.4503079,30.18987149
2022-02-22 23:44,5.979995728,9.700012207,16.74486385,30.63290994
2022-02-22 23:39,6.089996338,9.650009155,17.63153664,30.94936564
2022-02-22 23:34,6.219993591,9.800003052,19.53302127,30.82278288
2022-02-22 23:29,5.929992676,9.800003052,15.78751634,32.59493671
2022-02-22 23:24,5.909996033,9.850006104,15.3253064,32.27848101
2022-02-22 23:19,6.019996643,9.850006104,15.95240238,31.26582134
2022-02-22 23:14,6.009994507,9.75,15.25146765,31.32911392
2022-02-22 23:09,5.729995728,9.650009155,14.55111669,31.01265823
2022-02-22 23:04,5.709991455,9.700012207,15.79118602,31.0759484
2022-02-22 22:59,6.399993896,10.20001221,17.33442217,28.60759301
2022-02-22 22:54,6.129997253,9.800003052,17.10310551,30.69620253
2022-02-22 22:49,5.729995728,9.900009155,14.99511549,31.51898686
2022-02-22 22:44,6.089996338,10.20001221,14.86560002,31.89873273
2022-02-22 22:39,6.509994507,9.900009155,18.72690636,26.64556865
2022-02-22 22:34,6.189994812,9.900009155,16.08238287,29.62025268
2022-02-22 22:29,5.929992676,9.600006104,16.71288586,27.65822592
2022-02-22 22:24,6.009994507,9.600006104,17.08532517,30.44303701
2022-02-22 22:19,6.38999176,9.800003052,18.40712275,27.97468161
2022-02-22 22:14,6.409996033,9.850006104,18.52411738,28.48101266
2022-02-22 22:09,6.379997253,10,17.2734214,27.72151851
2022-02-22 22:04,6.219993591,9.700012207,16.59662479,29.55696009
2022-02-22 21:59,5.709991455,9.75,15.3004237,29.36708716
2022-02-22 21:54,6.079994202,10.20001221,14.71365536,29.2405044
2022-02-22 21:49,5.929992676,9.75,15.86921697,32.78480965
2022-02-22 21:44,5.989990234,9.900009155,14.58831119,32.97468258
2022-02-22 21:39,6.369995117,10.15000916,16.35280763,30.82278288
2022-02-22 21:34,6.209991455,9.75,17.46149528,31.96202532
2022-02-22 21:29,6.16999054,9.900009155,16.44402397,30.94936564
2022-02-22 21:24,6.459991455,10.30000305,16.28376149,29.68354285
2022-02-22 21:19,6.309997559,9.850006104,16.71988737,28.79746835
2022-02-22 21:14,6.27999115,10.1000061,16.86881901,29.55696009
2022-02-22 21:09,6.019996643,9.700012207,16.53775303,31.77214997
2022-02-22 21:04,5.989990234,9.850006104,16.07571265,30.63290994
2022-02-22 20:59,6.519996643,9.900009155,19.2765947,30.06329114
2022-02-22 20:54,6.02999115,9.700012207,17.29812606,28.79746835
2022-02-22 20:49,6.27999115,9.650009155,20.4668779,27.53164557
2022-02-22 20:44,5.839996338,9.700012207,16.38486098,28.9240487
2022-02-22 20:39,5.709991455,9.75,14.76874874,33.35443086
2022-02-22 20:34,5.989990234,10.20001221,13.60544829,33.35443086
2022-02-22 20:29,6.299995422,10.1000061,15.26185889,30.06329114
2022-02-22 20:24,5.989990234,9.650009155,16.04123324,28.9240487
2022-02-22 20:19,6.079994202,10.1000061,15.13905682,28.10126437
2022-02-22 20:14,6.319992065,9.700012207,18.57045041,27.34177022
2022-02-22 20:09,6.109992981,9.700012207,17.08528887,29.2405044
2022-02-22 20:04,5.909996033,9.650009155,16.78296155,32.53164412
2022-02-22 19:59,6.109992981,9.800003052,14.68196832,34.05063243
2022-02-22 19:54,5.909996033,9.900009155,15.67158579,32.34177118
2022-02-22 19:49,6.479995728,10.1000061,17.99860348,30.44303701
2022-02-22 19:44,5.829994202,9.550003052,15.78254772,30.25316408
2022-02-22 19:39,5.809997559,9.600006104,15.36510789,27.84810127
2022-02-22 19:34,5.91999054,9.75,16.76248531,29.30379699
2022-02-22 19:29,6.079994202,9.950012207,15.10911671,30.37974684
2022-02-22 19:24,6.129997253,9.950012207,15.86918528,30.63290994
2022-02-22 19:19,6.02999115,9.700012207,15.28217903,30.82278288
2022-02-22 19:14,5.979995728,9.800003052,15.30692188,29.2405044
2022-02-22 19:09,5.899993896,9.75,15.62158513,28.16455696
2022-02-22 19:04,6.16999054,9.700012207,17.30806714,26.32911296
2022-02-22 18:59,6.119995117,9.700012207,18.73299413,26.45569572
2022-02-22 18:54,5.88999176,9.75,15.64293593,31.83544256
2022-02-22 18:49,6.209991455,9.75,17.25923857,30.44303701
2022-02-22 18:44,5.809997559,9.700012207,14.97009536,32.21518842
2022-02-22 18:39,6.089996338,10.05000305,15.06711363,29.30379699
2022-02-22 18:34,6.379997253,9.900009155,15.9334458,27.84810127
2022-02-22 18:29,5.809997559,9.700012207,15.21550675,26.96202435
2022-02-22 18:24,6.069992065,9.700012207,16.23954644,29.11392405
2022-02-22 18:19,6.16999054,9.900009155,15.99613227,28.9240487
2022-02-22 18:14,6.499992371,9.850006104,18.0243624,28.48101266
2022-02-22 18:09,6.329994202,9.950012207,14.24062327,29.17721422
2022-02-22 18:04,7.16999054,10.3500061,18.6877097,22.59493478
2022-02-22 17:59,6.199996948,10.15000916,18.24712645,28.73417577
2022-02-22 17:54,6.399993896,10.15000916,19.79307775,35.25316504
2022-02-22 17:49,5.719993591,10.3500061,15.92803833,37.21518939
2022-02-22 17:44,6.249992371,10.45001221,15.39940447,37.53164509
2022-02-22 17:39,5.699996948,10.25,14.42470642,37.97468354
2022-02-22 17:34,6.249992371,10.5,17.12758402,32.78480965
2022-02-22 17:29,6.019996643,10.25,17.88564174,33.86075949
2022-02-22 17:24,5.979995728,10.55000305,17.44277376,35.63291091
2022-02-22 17:19,5.88999176,10.70001221,15.03424706,41.13924051
2022-02-22 17:14,5.929992676,10.45001221,15.47081831,40.31645618
2022-02-22 17:09,6.16999054,10.5,16.4804217,36.07594937
2022-02-22 17:04,6.369995117,10.80000305,16.91652369,30.7594927
2022-02-22 16:59,6.66999054,10.90000916,18.11126272,33.16455551
2022-02-22 16:54,5.819992065,10.3500061,16.17427433,39.24050633
2022-02-22 16:49,6.159996033,11,15.68076981,36.32911247
2022-02-22 16:44,6.229995728,11.05000305,15.54776355,40.82278481
2022-02-22 16:39,6.319992065,11,14.27898768,33.35443086
2022-02-22 16:34,6.379997253,10.55000305,17.68511132,31.39240409
